iter	Passed	Remaining
750	2569	851
751	2572	848
752	2575	844
753	2577	841
754	2580	837
755	2584	834
756	2587	830
757	2590	827
758	2594	823
759	2596	820
760	2600	816
761	2602	812
762	2605	809
763	2608	805
764	2611	802
765	2613	798
766	2617	794
767	2619	791
768	2623	787
769	2625	784
770	2629	780
771	2631	777
772	2634	773
773	2637	770
774	2640	766
775	2643	762
776	2646	759
777	2649	755
778	2652	752
779	2654	748
780	2657	745
781	2660	741
782	2663	738
783	2665	734
784	2668	730
785	2671	727
786	2674	723
787	2677	720
788	2680	716
789	2683	713
790	2685	709
791	2688	706
792	2691	702
793	2694	699
794	2697	695
795	2700	692
796	2703	688
797	2706	684
798	2709	681
799	2713	678
800	2715	674
801	2718	671
802	2722	667
803	2725	664
804	2728	660
805	2731	657
806	2734	653
807	2737	650
808	2739	646
809	2742	643
810	2745	639
811	2748	636
812	2751	632
813	2754	629
814	2757	625
815	2761	622
816	2764	619
817	2766	615
818	2769	612
819	2772	608
820	2776	605
821	2779	601
822	2782	598
823	2785	595
824	2789	591
825	2792	588
826	2795	584
827	2800	581
828	2803	578
829	2807	575
830	2810	571
831	2814	568
832	2817	564
833	2820	561
834	2824	558
835	2827	554
836	2830	551
837	2833	547
838	2837	544
839	2841	541
840	2844	537
841	2847	534
842	2850	530
843	2855	527
844	2858	524
845	2862	520
846	2866	517
847	2871	514
848	2876	511
849	2881	508
850	2886	505
851	2892	502
852	2900	499
853	2908	497
854	2915	494
855	2920	491
856	2932	489
857	2939	486
858	2943	483
859	2946	479
860	2951	476
861	2953	472
862	2957	469
863	2959	465
864	2962	462
865	2965	458
866	2969	455
867	2972	452
868	2975	448
869	2979	445
870	2982	441
871	2986	438
872	2988	434
873	2992	431
874	2995	427
875	2998	424
876	3001	420
877	3003	417
878	3006	413
879	3009	410
880	3013	406
881	3016	403
882	3020	400
883	3023	396
884	3026	393
885	3030	389
886	3032	386
887	3035	382
888	3038	379
889	3042	376
890	3045	372
891	3048	369
892	3050	365
893	3053	362
894	3056	358
895	3059	355
896	3062	351
897	3066	348
898	3068	344
899	3072	341
900	3075	337
901	3078	334
902	3080	330
903	3084	327
904	3087	324
905	3091	320
906	3096	317
907	3099	314
908	3104	310
909	3108	307
910	3111	304
911	3115	300
912	3119	297
913	3123	293
914	3127	290
915	3132	287
916	3135	283
917	3139	280
918	3142	277
919	3146	273
920	3150	270
921	3156	267
922	3161	263
923	3166	260
924	3172	257
925	3176	253
926	3180	250
927	3184	247
928	3188	243
929	3193	240
930	3198	237
931	3204	233
932	3210	230
933	3215	227
934	3219	223
935	3223	220
936	3229	217
937	3234	213
938	3239	210
939	3243	207
940	3247	203
941	3252	200
942	3257	196
943	3261	193
944	3265	190
945	3270	186
946	3275	183
947	3280	179
948	3285	176
949	3289	173
950	3293	169
951	3298	166
952	3301	162
953	3320	160
954	3324	156
955	3327	153
956	3331	149
957	3335	146
958	3338	142
959	3342	139
960	3346	135
961	3349	132
962	3353	128
963	3357	125
964	3360	121
965	3364	118
966	3367	114
967	3372	111
968	3376	108
969	3379	104
970	3382	101
971	3387	97
972	3393	94
973	3397	90
974	3401	87
975	3406	83
976	3411	80
977	3417	76
978	3420	73
979	3424	69
980	3428	66
981	3437	63
982	3441	59
983	3445	56
984	3448	52
985	3452	49
986	3456	45
987	3460	42
988	3464	38
989	3468	35
990	3474	31
991	3478	28
992	3482	24
993	3487	21
994	3491	17
995	3495	14
996	3501	10
997	3505	7
998	3509	3
999	3513	0
