,date,region,total_cc,imported_cc,sub_total_epilinks_cc,shincheonji_cc,small_clusters_cc,contacts_cc,epi_link_imported_cc,other_cc,new_cc,date_date
86,29/03/2020,Chung- buk,41,2,27,6.0,11,10,0.0,12,0.0,2020-03-29
87,29/03/2020,Chung- nam,127,7,113,0.0,112,1,0.0,7,1.0,2020-03-29
88,29/03/2020,Jeon- buk,12,3,1,1.0,0,0,0.0,8,2.0,2020-03-29
89,29/03/2020,Jeon- nam,9,1,4,1.0,2,2,1.0,2,1.0,2020-03-29
90,29/03/2020,Gyeong- buk,1287,1,1121,555.0,390,175,1.0,165,2.0,2020-03-29
91,29/03/2020,Gyeong- nam,94,5,72,32.0,35,5,0.0,17,3.0,2020-03-29
92,29/03/2020,Jeju,8,4,0,0.0,0,0,0.0,4,0.0,2020-03-29
93,29/03/2020,Airport,189,189,0,0.0,0,0,0.0,0,21.0,2020-03-29
94,29/03/2020,Total,9583,412,7774,5089.0,1567,1056,62.0,1397,105.0,2020-03-29
95,30/03/2020,Seoul,426,109,284,7.0,209,32,36.0,33,16.0,2020-03-30
96,30/03/2020,Busan,118,8,80,12.0,50,18,0.0,30,1.0,2020-03-30
97,30/03/2020,Daegu,6624,4,5871,4467.0,489,913,2.0,749,14.0,2020-03-30
98,30/03/2020,Incheon,58,19,36,2.0,29,3,2.0,3,0.0,2020-03-30
99,30/03/2020,Gwangju,20,5,14,9.0,0,2,3.0,1,0.0,2020-03-30
100,30/03/2020,Daejeon,34,4,21,2.0,11,8,0.0,9,0.0,2020-03-30
101,30/03/2020,Ulsan,39,8,24,16.0,1,4,3.0,7,0.0,2020-03-30
102,30/03/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0,2020-03-30
103,30/03/2020,Gyeonggi,463,79,342,29.0,237,58,18.0,42,15.0,2020-03-30
104,30/03/2020,Gangwon,36,5,23,17.0,5,1,0.0,8,2.0,2020-03-30
105,30/03/2020,Chung- buk,44,3,32,6.0,11,15,0.0,9,3.0,2020-03-30
106,30/03/2020,Chung- nam,127,7,113,0.0,112,1,0.0,7,0.0,2020-03-30
107,30/03/2020,Jeon- buk,13,5,1,1.0,0,0,0.0,7,1.0,2020-03-30
108,30/03/2020,Jeon- nam,9,2,6,1.0,2,2,1.0,1,0.0,2020-03-30
109,30/03/2020,Gyeong- buk,1298,2,1162,559.0,409,193,1.0,134,11.0,2020-03-30
110,30/03/2020,Gyeong- nam,95,6,72,32.0,35,5,0.0,17,1.0,2020-03-30
111,30/03/2020,Jeju,9,5,0,0.0,0,0,0.0,4,1.0,2020-03-30
112,30/03/2020,Airport,202,202,0,0.0,0,0,0.0,0,13.0,2020-03-30
113,30/03/2020,Total,9661,476,8123,5161.0,1638,1258,66.0,1062,78.0,2020-03-30
114,31/03/2020,Seoul,450,119,293,7.0,217,32,37.0,38,24.0,2020-03-31
115,31/03/2020,Busan,119,8,80,12.0,50,18,0.0,31,1.0,2020-03-31
116,31/03/2020,Daegu,6684,5,5930,4468.0,545,914,3.0,749,60.0,2020-03-31
117,31/03/2020,Incheon,64,21,36,2.0,29,3,2.0,7,6.0,2020-03-31
118,31/03/2020,Gwangju,20,5,14,9.0,0,2,3.0,1,0.0,2020-03-31
119,31/03/2020,Daejeon,36,4,21,2.0,11,8,0.0,11,2.0,2020-03-31
120,31/03/2020,Ulsan,39,8,24,16.0,1,4,3.0,7,0.0,2020-03-31
121,31/03/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0,2020-03-31
122,31/03/2020,Gyeonggi,476,86,348,29.0,243,58,18.0,42,13.0,2020-03-31
123,31/03/2020,Gangwon,36,6,22,17.0,5,0,0.0,8,0.0,2020-03-31
124,31/03/2020,Chung- buk,44,4,32,6.0,11,13,2.0,8,0.0,2020-03-31
125,31/03/2020,Chung- nam,128,7,113,0.0,112,1,0.0,8,1.0,2020-03-31
126,31/03/2020,Jeon- buk,13,6,1,1.0,0,0,0.0,6,0.0,2020-03-31
127,31/03/2020,Jeon- nam,9,2,6,1.0,2,2,1.0,1,0.0,2020-03-31
128,31/03/2020,Gyeong- buk,1300,5,1162,559.0,409,193,1.0,133,2.0,2020-03-31
129,31/03/2020,Gyeong- nam,96,7,72,32.0,35,5,0.0,17,1.0,2020-03-31
130,31/03/2020,Jeju,9,5,0,0.0,0,0,0.0,4,0.0,2020-03-31
131,31/03/2020,Airport,217,217,0,0.0,0,0,0.0,0,15.0,2020-03-31
132,31/03/2020,Total,9786,518,8196,5162.0,1708,1256,70.0,1072,125.0,2020-03-31
133,01/04/2020,Seoul,474,127,310,7.0,228,37,38.0,37,24.0,2020-04-01
134,01/04/2020,Busan,122,12,80,12.0,50,18,0.0,30,3.0,2020-04-01
135,01/04/2020,Daegu,6704,5,5961,4477.0,563,918,3.0,738,20.0,2020-04-01
136,01/04/2020,Incheon,69,25,40,2.0,31,4,3.0,4,5.0,2020-04-01
137,01/04/2020,Gwangju,24,6,15,9.0,0,3,3.0,3,4.0,2020-04-01
138,01/04/2020,Daejeon,36,6,21,2.0,11,8,0.0,9,0.0,2020-04-01
139,01/04/2020,Ulsan,39,8,24,16.0,1,4,3.0,7,0.0,2020-04-01
140,01/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0,2020-04-01
141,01/04/2020,Gyeonggi,499,96,359,29.0,251,61,18.0,44,23.0,2020-04-01
142,01/04/2020,Gangwon,38,7,23,17.0,5,1,0.0,8,2.0,2020-04-01
143,01/04/2020,Chung- buk,44,4,31,5.0,11,13,2.0,9,0.0,2020-04-01
144,01/04/2020,Chung- nam,131,8,114,0.0,112,2,0.0,9,3.0,2020-04-01
145,01/04/2020,Jeon- buk,14,6,1,1.0,0,0,0.0,7,1.0,2020-04-01
146,01/04/2020,Jeon- nam,12,4,6,1.0,2,2,1.0,2,3.0,2020-04-01
147,01/04/2020,Gyeong- buk,1302,5,1164,559.0,411,193,1.0,133,2.0,2020-04-01
148,01/04/2020,Gyeong- nam,100,9,72,32.0,35,5,0.0,19,4.0,2020-04-01
149,01/04/2020,Jeju,9,5,0,0.0,0,0,0.0,4,0.0,2020-04-01
150,01/04/2020,Airport,224,224,0,0.0,0,0,0.0,0,7.0,2020-04-01
151,01/04/2020,Total,9887,560,8260,5171.0,1745,1272,72.0,1067,101.0,2020-04-01
152,02/04/2020,Seoul,488,134,314,7.0,237,30,40.0,40,14.0,2020-04-02
153,02/04/2020,Busan,122,12,80,12.0,50,18,0.0,30,0.0,2020-04-02
154,02/04/2020,Daegu,6725,6,5979,4477.0,578,921,3.0,740,21.0,2020-04-02
155,02/04/2020,Incheon,73,27,43,2.0,31,6,4.0,3,4.0,2020-04-02
156,02/04/2020,Gwangju,25,8,16,9.0,0,1,6.0,1,1.0,2020-04-02
157,02/04/2020,Daejeon,36,6,21,2.0,11,8,0.0,9,0.0,2020-04-02
158,02/04/2020,Ulsan,40,8,24,16.0,1,4,3.0,8,1.0,2020-04-02
159,02/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0,2020-04-02
160,02/04/2020,Gyeonggi,516,102,371,29.0,262,61,19.0,43,17.0,2020-04-02
161,02/04/2020,Gangwon,39,8,23,17.0,6,0,0.0,8,1.0,2020-04-02
162,02/04/2020,Chung- buk,44,4,32,6.0,18,6,2.0,8,0.0,2020-04-02
163,02/04/2020,Chung- nam,133,8,117,0.0,114,3,0.0,8,2.0,2020-04-02
164,02/04/2020,Jeon- buk,14,6,3,1.0,2,0,0.0,5,0.0,2020-04-02
165,02/04/2020,Jeon- nam,14,5,7,1.0,3,2,1.0,2,2.0,2020-04-02
166,02/04/2020,Gyeong- buk,1304,7,1164,562.0,412,189,1.0,133,2.0,2020-04-02
167,02/04/2020,Gyeong- nam,106,10,76,32.0,37,7,0.0,20,6.0,2020-04-02
168,02/04/2020,Jeju,9,5,0,0.0,0,0,0.0,4,0.0,2020-04-02
169,02/04/2020,Airport,242,242,0,0.0,0,0,0.0,0,18.0,2020-04-02
170,02/04/2020,Total,9976,601,8309,5175.0,1796,1259,79.0,1066,89.0,2020-04-02
171,03/04/2020,Seoul,506,148,319,7.0,239,31,42.0,39,18.0,2020-04-03
172,03/04/2020,Busan,122,12,80,12.0,50,18,0.0,30,0.0,2020-04-03
173,03/04/2020,Daegu,6734,7,5986,4478.0,582,923,3.0,741,9.0,2020-04-03
174,03/04/2020,Incheon,74,27,43,2.0,33,4,4.0,4,1.0,2020-04-03
175,03/04/2020,Gwangju,26,9,16,9.0,0,1,6.0,1,1.0,2020-04-03
176,03/04/2020,Daejeon,36,6,21,2.0,11,8,0.0,9,0.0,2020-04-03
177,03/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0,2020-04-03
178,03/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0,2020-04-03
179,03/04/2020,Gyeonggi,539,107,389,29.0,274,63,23.0,43,23.0,2020-04-03
180,03/04/2020,Gangwon,41,8,25,17.0,6,2,0.0,8,2.0,2020-04-03
181,03/04/2020,Chung- buk,45,4,32,6.0,18,6,2.0,9,1.0,2020-04-03
182,03/04/2020,Chung- nam,134,8,119,0.0,118,1,0.0,7,1.0,2020-04-03
183,03/04/2020,Jeon- buk,15,6,3,1.0,2,0,0.0,6,1.0,2020-04-03
184,03/04/2020,Jeon- nam,15,6,7,1.0,3,2,1.0,2,1.0,2020-04-03
185,03/04/2020,Gyeong- buk,1309,7,1168,562.0,413,192,1.0,134,5.0,2020-04-03
186,03/04/2020,Gyeong- nam,107,11,78,32.0,41,5,0.0,18,1.0,2020-04-03
187,03/04/2020,Jeju,9,5,0,0.0,0,0,0.0,4,0.0,2020-04-03
188,03/04/2020,Airport,264,264,0,0.0,0,0,0.0,0,22.0,2020-04-03
189,03/04/2020,Total,10062,647,8349,5176.0,1825,1263,85.0,1066,86.0,2020-04-03
190,04/04/2020,Seoul,528,162,321,7.0,240,26,48.0,45,22.0,2020-04-04
191,04/04/2020,Busan,122,12,80,12.0,50,18,0.0,30,0.0,2020-04-04
192,04/04/2020,Daegu,6761,8,6010,4480.0,608,919,3.0,743,27.0,2020-04-04
193,04/04/2020,Incheon,77,29,44,2.0,34,4,4.0,4,3.0,2020-04-04
194,04/04/2020,Gwangju,26,10,16,9.0,0,1,6.0,0,0.0,2020-04-04
195,04/04/2020,Daejeon,36,6,21,2.0,11,8,0.0,9,0.0,2020-04-04
196,04/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0,2020-04-04
197,04/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0,2020-04-04
198,04/04/2020,Gyeonggi,562,110,408,29.0,279,66,34.0,44,23.0,2020-04-04
199,04/04/2020,Gangwon,42,8,26,17.0,8,1,0.0,8,1.0,2020-04-04
200,04/04/2020,Chung- buk,45,5,32,6.0,18,6,2.0,8,0.0,2020-04-04
201,04/04/2020,Chung- nam,135,8,119,0.0,117,1,1.0,8,1.0,2020-04-04
202,04/04/2020,Jeon- buk,15,7,3,1.0,2,0,0.0,5,0.0,2020-04-04
203,04/04/2020,Jeon- nam,15,7,7,1.0,3,2,1.0,1,0.0,2020-04-04
204,04/04/2020,Gyeong- buk,1310,8,1167,562.0,414,190,1.0,135,1.0,2020-04-04
205,04/04/2020,Gyeong- nam,108,12,79,32.0,42,5,0.0,17,1.0,2020-04-04
206,04/04/2020,Jeju,9,5,0,0.0,0,0,0.0,4,0.0,2020-04-04
207,04/04/2020,Airport,279,279,0,0.0,0,0,0.0,0,15.0,2020-04-04
208,04/04/2020,Total,10156,688,8397,5178.0,1862,1254,103.0,1071,94.0,2020-04-04
209,05/04/2020,Seoul,552,179,334,7.0,244,29,54.0,39,24.0,2020-04-05
210,05/04/2020,Busan,122,12,80,12.0,50,18,0.0,30,0.0,2020-04-05
211,05/04/2020,Daegu,6768,10,6041,4506.0,614,918,3.0,717,7.0,2020-04-05
212,05/04/2020,Incheon,79,31,44,2.0,34,4,4.0,4,2.0,2020-04-05
213,05/04/2020,Gwangju,27,11,16,9.0,0,1,6.0,0,1.0,2020-04-05
214,05/04/2020,Daejeon,37,6,22,2.0,11,9,0.0,9,1.0,2020-04-05
215,05/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0,2020-04-05
216,05/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0,2020-04-05
217,05/04/2020,Gyeonggi,572,114,411,29.0,282,61,39.0,47,10.0,2020-04-05
218,05/04/2020,Gangwon,45,9,28,17.0,10,1,0.0,8,3.0,2020-04-05
219,05/04/2020,Chung- buk,45,5,32,6.0,18,6,2.0,8,0.0,2020-04-05
220,05/04/2020,Chung- nam,135,8,119,0.0,117,1,1.0,8,0.0,2020-04-05
221,05/04/2020,Jeon- buk,16,7,3,1.0,2,0,0.0,6,1.0,2020-04-05
222,05/04/2020,Jeon- nam,15,7,7,1.0,3,2,1.0,1,0.0,2020-04-05
223,05/04/2020,Gyeong- buk,1314,9,1172,566.0,415,190,1.0,133,4.0,2020-04-05
224,05/04/2020,Gyeong- nam,109,12,80,32.0,42,6,0.0,17,1.0,2020-04-05
225,05/04/2020,Jeju,12,6,1,0.0,0,0,1.0,5,3.0,2020-04-05
226,05/04/2020,Airport,303,303,0,0.0,0,0,0.0,0,24.0,2020-04-05
227,05/04/2020,Total,10237,741,8454,5208.0,1878,1253,115.0,1042,81.0,2020-04-05
228,06/04/2020,Seoul,563,187,340,7.0,248,28,57.0,36,11.0,2020-04-06
229,06/04/2020,Busan,122,12,80,12.0,50,18,0.0,30,0.0,2020-04-06
230,06/04/2020,Daegu,6781,11,6056,4507.0,625,920,4.0,714,13.0,2020-04-06
231,06/04/2020,Incheon,80,31,45,2.0,34,5,4.0,4,1.0,2020-04-06
232,06/04/2020,Gwangju,27,11,16,9.0,0,1,6.0,0,0.0,2020-04-06
233,06/04/2020,Daejeon,39,8,21,2.0,11,8,0.0,10,2.0,2020-04-06
234,06/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0,2020-04-06
235,06/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0,2020-04-06
236,06/04/2020,Gyeonggi,580,122,414,29.0,287,60,38.0,44,8.0,2020-04-06
237,06/04/2020,Gangwon,45,9,28,17.0,11,0,0.0,8,0.0,2020-04-06
238,06/04/2020,Chung- buk,45,5,32,6.0,18,6,2.0,8,0.0,2020-04-06
239,06/04/2020,Chung- nam,136,8,119,0.0,117,1,1.0,9,1.0,2020-04-06
240,06/04/2020,Jeonbuk,16,7,4,1.0,3,0,0.0,5,0.0,2020-04-06
241,06/04/2020,Jeonnam,15,7,5,1.0,1,2,1.0,1,0.0,2020-04-06
