index,date,region,total_cc,imported_cc,sub_total_epilinks_cc,shincheonji_cc,small_clusters_cc,contacts_cc,epi_link_imported_cc,other_cc,new_cc
121,31/03/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0
122,31/03/2020,Gyeonggi,476,86,348,29.0,243,58,18.0,42,13.0
123,31/03/2020,Gangwon,36,6,22,17.0,5,0,0.0,8,0.0
124,31/03/2020,Chung-buk,44,4,32,6.0,11,13,2.0,8,0.0
125,31/03/2020,Chung- nam,128,7,113,0.0,112,1,0.0,8,1.0
126,31/03/2020,Jeon-buk,13,6,1,1.0,0,0,0.0,6,0.0
127,31/03/2020,Jeon-nam,9,2,6,1.0,2,2,1.0,1,0.0
128,31/03/2020,Gyeong- buk,1300,5,1162,559.0,409,193,1.0,133,2.0
129,31/03/2020,Gyeong- nam,96,7,72,32.0,35,5,0.0,17,1.0
130,31/03/2020,Jeju,9,5,0,0.0,0,0,0.0,4,0.0
131,31/03/2020,Airport,217,217,0,0.0,0,0,0.0,0,15.0
132,31/03/2020,Total,9786,518,8196,5162.0,1708,1256,70.0,1072,125.0
133,01/04/2020,Seoul,474,127,310,7.0,228,37,38.0,37,24.0
134,01/04/2020,Busan,122,12,80,12.0,50,18,0.0,30,3.0
135,01/04/2020,Daegu,6704,5,5961,4477.0,563,918,3.0,738,20.0
136,01/04/2020,Incheon,69,25,40,2.0,31,4,3.0,4,5.0
137,01/04/2020,Gwangju,24,6,15,9.0,0,3,3.0,3,4.0
138,01/04/2020,Daejeon,36,6,21,2.0,11,8,0.0,9,0.0
139,01/04/2020,Ulsan,39,8,24,16.0,1,4,3.0,7,0.0
140,01/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0
141,01/04/2020,Gyeonggi,499,96,359,29.0,251,61,18.0,44,23.0
142,01/04/2020,Gangwon,38,7,23,17.0,5,1,0.0,8,2.0
143,01/04/2020,Chung-buk,44,4,31,5.0,11,13,2.0,9,0.0
144,01/04/2020,Chung- nam,131,8,114,0.0,112,2,0.0,9,3.0
145,01/04/2020,Jeon-buk,14,6,1,1.0,0,0,0.0,7,1.0
146,01/04/2020,Jeon-nam,12,4,6,1.0,2,2,1.0,2,3.0
147,01/04/2020,Gyeong- buk,1302,5,1164,559.0,411,193,1.0,133,2.0
148,01/04/2020,Gyeong- nam,100,9,72,32.0,35,5,0.0,19,4.0
149,01/04/2020,Jeju,9,5,0,0.0,0,0,0.0,4,0.0
150,01/04/2020,Airport,224,224,0,0.0,0,0,0.0,0,7.0
151,01/04/2020,Total,9887,560,8260,5171.0,1745,1272,72.0,1067,101.0
152,02/04/2020,Seoul,488,134,314,7.0,237,30,40.0,40,14.0
153,02/04/2020,Busan,122,12,80,12.0,50,18,0.0,30,0.0
154,02/04/2020,Daegu,6725,6,5979,4477.0,578,921,3.0,740,21.0
155,02/04/2020,Incheon,73,27,43,2.0,31,6,4.0,3,4.0
156,02/04/2020,Gwangju,25,8,16,9.0,0,1,6.0,1,1.0
157,02/04/2020,Daejeon,36,6,21,2.0,11,8,0.0,9,0.0
158,02/04/2020,Ulsan,40,8,24,16.0,1,4,3.0,8,1.0
159,02/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0
160,02/04/2020,Gyeonggi,516,102,371,29.0,262,61,19.0,43,17.0
161,02/04/2020,Gangwon,39,8,23,17.0,6,0,0.0,8,1.0
162,02/04/2020,Chung-buk,44,4,32,6.0,18,6,2.0,8,0.0
163,02/04/2020,Chung- nam,133,8,117,0.0,114,3,0.0,8,2.0
164,02/04/2020,Jeon-buk,14,6,3,1.0,2,0,0.0,5,0.0
165,02/04/2020,Jeon-nam,14,5,7,1.0,3,2,1.0,2,2.0
166,02/04/2020,Gyeong- buk,1304,7,1164,562.0,412,189,1.0,133,2.0
167,02/04/2020,Gyeong- nam,106,10,76,32.0,37,7,0.0,20,6.0
168,02/04/2020,Jeju,9,5,0,0.0,0,0,0.0,4,0.0
169,02/04/2020,Airport,242,242,0,0.0,0,0,0.0,0,18.0
170,02/04/2020,Total,9976,601,8309,5175.0,1796,1259,79.0,1066,89.0
171,03/04/2020,Seoul,506,148,319,7.0,239,31,42.0,39,18.0
172,03/04/2020,Busan,122,12,80,12.0,50,18,0.0,30,0.0
173,03/04/2020,Daegu,6734,7,5986,4478.0,582,923,3.0,741,9.0
174,03/04/2020,Incheon,74,27,43,2.0,33,4,4.0,4,1.0
175,03/04/2020,Gwangju,26,9,16,9.0,0,1,6.0,1,1.0
176,03/04/2020,Daejeon,36,6,21,2.0,11,8,0.0,9,0.0
177,03/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0
178,03/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0
179,03/04/2020,Gyeonggi,539,107,389,29.0,274,63,23.0,43,23.0
180,03/04/2020,Gangwon,41,8,25,17.0,6,2,0.0,8,2.0
181,03/04/2020,Chung-buk,45,4,32,6.0,18,6,2.0,9,1.0
182,03/04/2020,Chung- nam,134,8,119,0.0,118,1,0.0,7,1.0
183,03/04/2020,Jeon-buk,15,6,3,1.0,2,0,0.0,6,1.0
184,03/04/2020,Jeon-nam,15,6,7,1.0,3,2,1.0,2,1.0
185,03/04/2020,Gyeong- buk,1309,7,1168,562.0,413,192,1.0,134,5.0
186,03/04/2020,Gyeong- nam,107,11,78,32.0,41,5,0.0,18,1.0
187,03/04/2020,Jeju,9,5,0,0.0,0,0,0.0,4,0.0
188,03/04/2020,Airport,264,264,0,0.0,0,0,0.0,0,22.0
189,03/04/2020,Total,10062,647,8349,5176.0,1825,1263,85.0,1066,86.0
190,04/04/2020,Seoul,528,162,321,7.0,240,26,48.0,45,22.0
191,04/04/2020,Busan,122,12,80,12.0,50,18,0.0,30,0.0
192,04/04/2020,Daegu,6761,8,6010,4480.0,608,919,3.0,743,27.0
193,04/04/2020,Incheon,77,29,44,2.0,34,4,4.0,4,3.0
194,04/04/2020,Gwangju,26,10,16,9.0,0,1,6.0,0,0.0
195,04/04/2020,Daejeon,36,6,21,2.0,11,8,0.0,9,0.0
196,04/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0
197,04/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0
198,04/04/2020,Gyeonggi,562,110,408,29.0,279,66,34.0,44,23.0
199,04/04/2020,Gangwon,42,8,26,17.0,8,1,0.0,8,1.0
200,04/04/2020,Chung-buk,45,5,32,6.0,18,6,2.0,8,0.0
201,04/04/2020,Chung-nam,135,8,119,0.0,117,1,1.0,8,1.0
202,04/04/2020,Jeon-buk,15,7,3,1.0,2,0,0.0,5,0.0
203,04/04/2020,Jeon-nam,15,7,7,1.0,3,2,1.0,1,0.0
204,04/04/2020,Gyeong- buk,1310,8,1167,562.0,414,190,1.0,135,1.0
205,04/04/2020,Gyeong- nam,108,12,79,32.0,42,5,0.0,17,1.0
206,04/04/2020,Jeju,9,5,0,0.0,0,0,0.0,4,0.0
207,04/04/2020,Airport,279,279,0,0.0,0,0,0.0,0,15.0
208,04/04/2020,Total,10156,688,8397,5178.0,1862,1254,103.0,1071,94.0
209,05/04/2020,Seoul,552,179,334,7.0,244,29,54.0,39,24.0
210,05/04/2020,Busan,122,12,80,12.0,50,18,0.0,30,0.0
211,05/04/2020,Daegu,6768,10,6041,4506.0,614,918,3.0,717,7.0
212,05/04/2020,Incheon,79,31,44,2.0,34,4,4.0,4,2.0
213,05/04/2020,Gwangju,27,11,16,9.0,0,1,6.0,0,1.0
214,05/04/2020,Daejeon,37,6,22,2.0,11,9,0.0,9,1.0
215,05/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0
216,05/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0
217,05/04/2020,Gyeonggi,572,114,411,29.0,282,61,39.0,47,10.0
218,05/04/2020,Gangwon,45,9,28,17.0,10,1,0.0,8,3.0
219,05/04/2020,Chung-buk,45,5,32,6.0,18,6,2.0,8,0.0
220,05/04/2020,Chung- nam,135,8,119,0.0,117,1,1.0,8,0.0
221,05/04/2020,Jeon-buk,16,7,3,1.0,2,0,0.0,6,1.0
222,05/04/2020,Jeon-nam,15,7,7,1.0,3,2,1.0,1,0.0
223,05/04/2020,Gyeong- buk,1314,9,1172,566.0,415,190,1.0,133,4.0
224,05/04/2020,Gyeong- nam,109,12,80,32.0,42,6,0.0,17,1.0
225,05/04/2020,Jeju,12,6,1,0.0,0,0,1.0,5,3.0
226,05/04/2020,Airport,303,303,0,0.0,0,0,0.0,0,24.0
227,05/04/2020,Total,10237,741,8454,5208.0,1878,1253,115.0,1042,81.0
228,06/04/2020,Seoul,563,187,340,7.0,248,28,57.0,36,11.0
229,06/04/2020,Busan,122,12,80,12.0,50,18,0.0,30,0.0
230,06/04/2020,Daegu,6781,11,6056,4507.0,625,920,4.0,714,13.0
231,06/04/2020,Incheon,80,31,45,2.0,34,5,4.0,4,1.0
232,06/04/2020,Gwangju,27,11,16,9.0,0,1,6.0,0,0.0
233,06/04/2020,Daejeon,39,8,21,2.0,11,8,0.0,10,2.0
234,06/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0
235,06/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0
236,06/04/2020,Gyeonggi,580,122,414,29.0,287,60,38.0,44,8.0
237,06/04/2020,Gangwon,45,9,28,17.0,11,0,0.0,8,0.0
238,06/04/2020,Chung-buk,45,5,32,6.0,18,6,2.0,8,0.0
239,06/04/2020,Chung- nam,136,8,119,0.0,117,1,1.0,9,1.0
240,06/04/2020,Jeonbuk,16,7,4,1.0,3,0,0.0,5,0.0
241,06/04/2020,Jeonnam,15,7,5,1.0,1,2,1.0,1,0.0
242,06/04/2020,Gyeong- buk,1316,9,1174,566.0,417,190,1.0,133,2.0
243,06/04/2020,Gyeong- nam,111,13,80,32.0,43,5,0.0,18,2.0
244,06/04/2020,Jeju,12,7,1,0.0,0,0,1.0,4,0.0
245,06/04/2020,Airport,310,310,0,0.0,0,0,0.0,0,7.0
246,06/04/2020,Total,10284,769,8483,5208.0,1906,1251,118.0,1032,47.0
247,07/04/2020,Seoul,567,200,340,7.0,248,27,58.0,27,4.0
248,07/04/2020,Busan,123,12,80,12.0,50,18,0.0,31,1.0
249,07/04/2020,Daegu,6794,12,6067,4508.0,636,919,4.0,715,13.0
250,07/04/2020,Incheon,80,31,45,2.0,34,5,4.0,4,0.0
251,07/04/2020,Gwangju,27,11,16,9.0,0,1,6.0,0,0.0
252,07/04/2020,Daejeon,39,9,21,2.0,11,8,0.0,9,0.0
253,07/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0
254,07/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0
255,07/04/2020,Gyeonggi,590,125,421,29.0,292,62,38.0,44,10.0
256,07/04/2020,Gangwon,47,10,28,17.0,11,0,0.0,9,2.0
257,07/04/2020,Chung-buk,45,5,32,6.0,18,6,2.0,8,0.0
258,07/04/2020,Chung- nam,137,8,120,0.0,118,1,1.0,9,1.0
259,07/04/2020,Jeon-buk,16,7,4,1.0,3,0,0.0,5,0.0
260,07/04/2020,Jeon-nam,15,7,7,1.0,3,2,1.0,1,0.0
261,07/04/2020,Gyeong- buk,1317,9,1175,566.0,417,191,1.0,133,1.0
262,07/04/2020,Gyeong- nam,112,13,81,32.0,43,6,0.0,18,1.0
263,07/04/2020,Jeju,12,7,1,0.0,0,0,1.0,4,0.0
264,07/04/2020,Airport,324,324,0,0.0,0,0,0.0,0,14.0
265,07/04/2020,Total,10331,802,8504,5209.0,1923,1253,119.0,1025,47.0
266,08/04/2020,Seoul,578,207,341,7.0,248,26,60.0,30,11.0
267,08/04/2020,Busan,125,15,81,12.0,50,18,1.0,29,2.0
268,08/04/2020,Daegu,6803,12,6075,4508.0,640,923,4.0,716,9.0
269,08/04/2020,Incheon,84,31,45,2.0,34,5,4.0,8,4.0
270,08/04/2020,Gwangju,27,11,16,9.0,0,1,6.0,0,0.0
271,08/04/2020,Daejeon,39,9,21,2.0,11,8,0.0,9,0.0
272,08/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0
273,08/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0
274,08/04/2020,Gyeonggi,596,128,423,29.0,295,59,40.0,45,6.0
275,08/04/2020,Gangwon,49,12,30,17.0,13,0,0.0,7,2.0
276,08/04/2020,Chung-buk,45,5,32,6.0,18,6,2.0,8,0.0
277,08/04/2020,Chung- nam,137,8,120,0.0,118,1,1.0,9,0.0
278,08/04/2020,Jeonbuk,17,8,4,1.0,3,0,0.0,5,1.0
279,08/04/2020,Jeonnam,15,7,7,1.0,3,2,1.0,1,0.0
280,08/04/2020,Gyeong- buk,1320,9,1175,566.0,417,191,1.0,136,3.0
281,08/04/2020,Gyeong- nam,113,13,83,32.0,43,7,1.0,17,1.0
282,08/04/2020,Jeju,12,7,1,0.0,0,0,1.0,4,0.0
283,08/04/2020,Airport,338,338,0,0.0,0,0,0.0,0,14.0
284,08/04/2020,Total,10384,832,8520,5209.0,1932,1254,125.0,1032,53.0
285,09/04/2020,Seoul,590,217,347,8.0,256,19,64.0,26,12.0
286,09/04/2020,Busan,125,15,81,12.0,50,18,1.0,29,0.0
287,09/04/2020,Daegu,6807,12,6079,4508.0,645,922,4.0,716,4.0
288,09/04/2020,Incheon,84,33,46,2.0,34,5,5.0,5,0.0
289,09/04/2020,Gwangju,27,11,16,9.0,0,1,6.0,0,0.0
290,09/04/2020,Daejeon,39,9,21,2.0,11,8,0.0,9,0.0
291,09/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0
292,09/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0
293,09/04/2020,Gyeonggi,606,134,429,29.0,297,59,44.0,43,10.0
294,09/04/2020,Gangwon,49,12,30,17.0,13,0,0.0,7,0.0
295,09/04/2020,Chung-buk,45,5,32,6.0,18,6,2.0,8,0.0
296,09/04/2020,Chung- nam,138,8,120,0.0,118,1,1.0,10,1.0
297,09/04/2020,Jeonbuk,17,8,4,1.0,3,0,0.0,5,0.0
298,09/04/2020,Jeonnam,15,7,7,1.0,3,2,1.0,1,0.0
299,09/04/2020,Gyeong- buk,1320,9,1178,566.0,420,191,1.0,133,0.0
300,09/04/2020,Gyeong- nam,115,14,84,32.0,45,6,1.0,17,2.0
301,09/04/2020,Jeju,12,7,1,0.0,0,0,1.0,4,0.0
302,09/04/2020,Airport,348,348,0,0.0,0,0,0.0,0,10.0
303,09/04/2020,Total,10423,861,8541,5210.0,1952,1245,134.0,1021,39.0
304,10/04/2020,Seoul,595,218,350,8.0,257,20,65.0,27,5.0
305,10/04/2020,Busan,126,15,81,12.0,50,18,1.0,30,1.0
306,10/04/2020,Daegu,6807,12,6079,4508.0,646,921,4.0,716,0.0
307,10/04/2020,Incheon,85,34,47,2.0,34,5,6.0,4,1.0
308,10/04/2020,Gwangju,27,11,16,9.0,0,1,6.0,0,0.0
309,10/04/2020,Daejeon,39,9,21,2.0,11,8,0.0,9,0.0
310,10/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0
311,10/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0
312,10/04/2020,Gyeonggi,615,135,433,29.0,299,60,45.0,47,9.0
313,10/04/2020,Gangwon,49,12,30,17.0,13,0,0.0,7,0.0
314,10/04/2020,Chung-buk,45,5,32,6.0,18,6,2.0,8,0.0
315,10/04/2020,Chung- nam,138,9,120,0.0,118,1,1.0,9,0.0
316,10/04/2020,Jeonbuk,17,8,4,1.0,3,0,0.0,5,0.0
317,10/04/2020,Jeonnam,15,7,7,1.0,3,2,1.0,1,0.0
318,10/04/2020,Gyeong- buk,1327,9,1181,566.0,421,193,1.0,137,7.0
319,10/04/2020,Gyeong- nam,115,14,84,32.0,45,6,1.0,17,0.0
320,10/04/2020,Jeju,12,7,1,0.0,0,0,1.0,4,0.0
321,10/04/2020,Airport,352,352,0,0.0,0,0,0.0,0,4.0
322,10/04/2020,Total,10450,869,8552,5210.0,1957,1248,137.0,1029,27.0
323,11/04/2020,Seoul,599,222,349,8.0,258,18,65.0,28,4.0
324,11/04/2020,Busan,126,15,81,12.0,50,18,1.0,30,0.0
325,11/04/2020,Daegu,6814,13,6085,4508.0,651,922,4.0,716,7.0
326,11/04/2020,Incheon,85,34,47,2.0,34,5,6.0,4,0.0
327,11/04/2020,Gwangju,27,11,16,9.0,0,1,6.0,0,0.0
328,11/04/2020,Daejeon,39,9,21,2.0,11,8,0.0,9,0.0
329,11/04/2020,Ulsan,41,10,24,16.0,1,4,3.0,7,1.0
330,11/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0
331,11/04/2020,Gyeonggi,624,140,439,29.0,302,58,50.0,45,9.0
332,11/04/2020,Gangwon,49,12,30,17.0,13,0,0.0,7,0.0
333,11/04/2020,Chung-buk,45,5,32,6.0,18,6,2.0,8,0.0
334,11/04/2020,Chung- nam,138,9,120,0.0,118,1,1.0,9,0.0
335,11/04/2020,Jeonbuk,17,8,4,1.0,3,0,0.0,5,0.0
336,11/04/2020,Jeonnam,15,7,7,1.0,3,2,1.0,1,0.0
337,11/04/2020,Gyeong- buk,1330,9,1185,566.0,427,191,1.0,136,3.0
338,11/04/2020,Gyeong- nam,115,14,84,32.0,45,6,1.0,17,0.0
339,11/04/2020,Jeju,12,7,1,0.0,0,0,1.0,4,0.0
340,11/04/2020,Airport,358,358,0,0.0,0,0,0.0,0,6.0
341,11/04/2020,Total,10480,886,8567,5210.0,1972,1243,142.0,1027,30.0
342,12/04/2020,Seoul,602,225,350,8.0,258,19,65.0,27,3.0
343,12/04/2020,Busan,126,15,81,12.0,50,18,1.0,30,0.0
344,12/04/2020,Daegu,6816,14,6085,4508.0,651,922,4.0,717,2.0
345,12/04/2020,Incheon,86,35,47,2.0,34,5,6.0,4,1.0
346,12/04/2020,Gwangju,27,11,16,9.0,0,1,6.0,0,0.0
